softwareName,version,releaseDate,eolDate
Prisma Access Browser,139.12.x.x,2025-08-13,2025-11-11
Prisma Access Browser,139.7.x.x,2025-08-07,2025-11-05
Prisma Access Browser,138.69.x.x,2025-07-30,2025-10-28
Prisma Access Browser,138.64.x.x,2025-07-23,2025-10-21
Prisma Access Browser,138.53.x.x,2025-07-16,2025-10-14
Prisma Access Browser,138.47.x.x,2025-07-09,2025-10-07
Prisma Access Browser,138.40.x.x,2025-07-01,2025-09-29
Prisma Access Browser,138.33.x.x,2025-06-25,2025-09-23
Prisma Access Browser,137.27.x.x,2025-06-18,2025-09-16
Prisma Access Browser,137.20.x.x,2025-06-11,2025-09-09
Prisma Access Browser,137.16.x.x,2025-06-03,2025-09-01
Prisma Access Browser,137.8.x.x,2025-05-28,2025-08-26
Prisma Access Browser,136.33.x.x,2025-05-21,2025-08-19
Prisma Access Browser,136.24.x.x,2025-05-14,2025-08-12
Prisma Access Browser,136.17.x.x,2025-05-07,2025-08-05
Prisma Access Browser,136.11.x.x,2025-04-30,2025-07-29
Prisma Access Browser,135.27.x.x,2025-04-23,2025-07-22
Prisma Access Browser,135.16.x.x,2025-04-09,2025-07-08
Prisma Access Browser,135.10.x.x,2025-04-02,2025-07-01
Prisma Access Browser,134.29.x.x,2025-03-26,2025-06-24
Prisma Access Browser,134.20.x.x,2025-03-20,2025-06-18
Prisma Access Browser,134.17.x.x,2025-03-11,2025-06-09
Prisma Access Browser,134.7.x.x,2025-03-05,2025-06-03
Prisma Access Browser,133.36.x.x,2025-02-26,2025-05-27
Prisma Access Browser,133.27.x.x,2025-02-19,2025-05-20
Prisma Access Browser,133.16.x.x,2025-02-13,2025-05-14
Prisma Access Browser,133.8.x.x,2025-02-05,2025-05-06
Prisma Access Browser,132.x.3025.x,2025-01-29,2025-04-29
Prisma Access Browser,132.x.3017.x,2025-01-22,2025-04-22
Prisma Access Browser,132.x.3010.x,2025-01-15,2025-04-15
Prisma Access Browser,131.x.2999.x,2025-01-08,2025-04-08
Prisma Access Browser,131.x.2995.x,2025-01-01,2025-04-01
Prisma Access Browser,131.x.2986.x,2024-12-26,2025-03-26
Prisma Access Browser,131.x.2976.x,2024-12-19,2025-03-19
Prisma Access Browser,131.x.2968.x,2024-12-11,2025-03-11
Prisma Access Browser,131.x.2963.x,2024-12-04,2025-03-04
Prisma Access Browser,131.x.2955.x,2024-11-28,2025-02-26
Prisma Access Browser,131.x.2948.x,2024-11-20,2025-02-18
Prisma Access Browser,131.x.2943.x,2024-11-14,2025-02-12
Prisma Access Browser,130.x.2936.x,2024-11-06,2025-02-04
Prisma Access Browser,130.x.2931.x,2024-10-30,2025-01-28
Prisma Access Browser,130.x2926.x,2024-10-23,2025-01-21
Prisma Access Browser,130.x2920.x,2024-10-16,2025-01-14
Prisma Access Browser,129.x2913.x,2024-10-09,2025-01-07
Prisma Access Browser,129.x2910.x,2024-10-02,2024-12-31
Prisma Access Browser,129.x2903.x,2024-09-25,2024-12-24
Prisma Access Browser,129.x2896.x,2024-09-18,2024-12-17
Prisma Access Browser,128.x.2888.x,2024-09-11,2024-12-10
Prisma Access Browser,128.x.2884.x,2024-09-03,2024-12-02
Prisma Access Browser,128.x.2877.x,2024-08-28,2024-11-27
Prisma Access Browser,128.x.2869.x,2024-08-21,2024-11-19
Prisma Access Browser,127.x.2863.x,2024-08-14,2024-11-12
Prisma Access Browser,127.x.2858.x,2024-08-07,2024-11-05
Prisma Access Browser,127.x.2853.x,2024-07-31,2024-10-29
Prisma Access Browser,127.x.2849.x,2024-07-24,2024-10-22
Prisma Access Browser,126.x.2844.x,2024-07-17,2024-10-15
Prisma Access Browser,126.x.2842.x,2024-07-10,2024-10-08
Prisma Access Browser,126.x.2834.x,2024-07-04,2024-10-02
Prisma Access Browser,126.x.2826.x,2024-06-25,2024-09-23
Prisma Access Browser,126.x.2819.x,2024-06-19,2024-09-17
Prisma Access Browser,126.x.2811.x,2024-06-12,2024-09-10
Prisma Access Browser,125.x.2804.x,2024-05-31,2024-08-29
PAN-OS & Panorama,11.2,2024-05-02,2027-05-02
PAN-OS & Panorama,11.1,2023-11-03,2027-05-03
PAN-OS & Panorama,11.0,2022-11-17,2024-11-17
PAN-OS & Panorama,10.2+,2022-02-27,2025-08-27
PAN-OS & Panorama,10.1+,2021-05-31,2024-12-01
PAN-OS & Panorama,10.0+,2020-07-16,2022-07-16
PAN-OS & Panorama,9.1+,2019-12-13,2024-06-30
PAN-OS & Panorama,9.0-XFR (VM-Series only),2019-09-19,2020-09-19
PAN-OS & Panorama,9.0,2019-02-06,2022-03-01
PAN-OS & Panorama,8.1+,2018-03-01,2022-03-01
PAN-OS & Panorama,8.0,2017-01-29,2019-10-31
PAN-OS & Panorama,7.1,2016-03-29,2020-06-30
PAN-OS & Panorama,7.0,2015-06-04,2017-12-04
PAN-OS & Panorama,6.1,2014-10-25,2018-10-25
PAN-OS & Panorama,6.0,2014-01-19,2017-03-19
PAN-OS & Panorama,5.1 (Panorama only),2013-05-09,2017-05-09
PAN-OS & Panorama,5.0,2012-11-13,2016-11-13
PAN-OS & Panorama,4.1,2011-10-31,2015-04-30
PAN-OS & Panorama,4.0,2011-02-22,2014-12-31
PAN-OS & Panorama,3.1,2010-03-15,2013-06-30
PAN-OS & Panorama,3.0,2009-06-17,2010-12-17
PAN-OS & Panorama,2.1,2009-01-05,2012-01-05
PAN-OS & Panorama,2.0,2008-05-20,2009-05-20
PAN-OS & Panorama,1.3,2007-11-15,2008-11-20
Panorama Plugins,AWS Version,Release Date,End-of-Life Date
Panorama Plugins,5.3.4,2025-02-20,Latest
Panorama Plugins,5.3.3,2025-02-14,2025-05-01
Panorama Plugins,5.3.2,2025-01-16,2025-05-01
Panorama Plugins,5.3.1,2024-11-22,Latest
Panorama Plugins,5.3.0,2024-10-10,2025-05-01
Panorama Plugins,5.2.2,2024-04-25,2025-05-01
Panorama Plugins,5.2.1,2024-03-28,2025-05-01
Panorama Plugins,5.2.0,2024-02-15,2025-05-01
Panorama Plugins,5.1.3,2024-10-10,Latest
Panorama Plugins,5.1.2,2024-09-24,2025-05-01
Panorama Plugins,5.1.1,2023-07-19,2024-08-01
Panorama Plugins,5.0.1,2023-05-24,2024-08-01
Panorama Plugins,5.0.0,2023-03-23,2024-08-01
Panorama Plugins,4.1.0,2023-01-24,2024-08-01
Panorama Plugins,4.0.0,2022-02-24,2024-08-01
Panorama Plugins,3.0.3 (support 10.1),2022-09-07,2025-08-31
Panorama Plugins,3.0.2,2022-01-24,2024-08-01
Panorama Plugins,3.0.1,2021-09-02,2024-08-01
Panorama Plugins,3.0.0,2021-08-06,2024-08-01
Panorama Plugins,2.0.2 (9.1),2020-08-06,2024-08-01
Panorama Plugins,2.0.1,2020-03-09,2024-08-01
Panorama Plugins,2.0.0,2020-01-14,2024-08-01
Panorama Plugins,1.0.1,2020-03-09,2024-08-01
Panorama Plugins,1.0.0,2019-08-24,2024-08-01
Panorama Plugins,Azure Version,Release Date,End-of-Life Date
Panorama Plugins,5.2.2,2024-12-19,Latest
Panorama Plugins,5.2.1,2024-06-29,2025-05-01
Panorama Plugins,5.2.0,2024-05-29,2025-05-01
Panorama Plugins,5.1.2,2024-02-21,2025-05-01
Panorama Plugins,5.1.1,2023-09-14,2025-05-01
Panorama Plugins,5.1.0,2023-07-25,2025-05-01
Panorama Plugins,5.0.0,2023-04-27,2024-08-01
Panorama Plugins,4.2.0,2023-03-08,2024-08-01
Panorama Plugins,4.1.0,"July, 2022",2024-08-01
Panorama Plugins,4.0.0,2022-02-24,2024-08-01
Panorama Plugins,3.2.2 (support 10.1),2024-02-07,2025-08-31
Panorama Plugins,3.2.1,2022-07-28,2024-08-01
Panorama Plugins,3.2.0,2022-05-05,2024-08-01
Panorama Plugins,3.1.0,2021-06-10,2024-08-01
Panorama Plugins,3.0.1,2021-04-15,2024-08-01
Panorama Plugins,3.0.0,2020-12-17,2024-08-01
Panorama Plugins,2.0.3,2020-08-06,2024-08-01
Panorama Plugins,2.0.2,2020-03-09,2024-08-01
Panorama Plugins,2.0.1,2019-11-26,2024-08-01
Panorama Plugins,2.0.0,2019-07-25,2024-08-01
Panorama Plugins,1.0.0,2018-08-27,2024-08-01
Panorama Plugins,GCP Version,Release Date,End-of-Life Date
Panorama Plugins,3.1.2,2025-02-27,Latest
Panorama Plugins,3.1.1,2024-09-23,2025-05-01
Panorama Plugins,3.1.0,2023-04-25,2024-08-01
Panorama Plugins,3.0.0,2022-04-05,2024-08-01
Panorama Plugins,2.0.0 (support 10.1),2020-03-26,2025-08-31
Panorama Plugins,1.0.0,2018-10-16,2024-08-01
Unknown Software,NSX Version,Release Date,End-of-Life Date
Unknown Software,5.0.1,2023-04-03,2024-08-01
Unknown Software,5.0.0,2023-08-01,2024-08-01
Unknown Software,4.0.4 (support 10.1),2023-10-16,2025-08-31
Unknown Software,4.0.3,2023-03-06,2024-08-01
Unknown Software,4.0.2,2022-11-30,2024-02-01
Unknown Software,4.0.1,"July 07, 2022 (10.1)",2024-12-01
Unknown Software,4.0.0,2021-08-05,2024-08-01
Unknown Software,3.2.4,2022-07-11,2024-08-01
Unknown Software,3.2.3,2021-08-10,2024-08-01
Unknown Software,3.2.1,2021-03-30,2024-08-01
Unknown Software,3.2.0,2020-08-27,2024-08-01
Unknown Software,3.1.0,2019-12-19,2024-08-01
Unknown Software,2.0.6,2020-04-21,2024-08-01
Unknown Software,2.0.5,2019-06-10,2024-08-01
Unknown Software,2.0.4,2019-02-12,2024-08-01
Unknown Software,2.0.3,2018-11-05,2024-08-01
Unknown Software,2.0.2,2018-05-22,2024-08-01
Unknown Software,2.0.1,2018-02-22,2024-08-01
Unknown Software,vCenter Version,Release Date,End-of-Life Date
Unknown Software,2.1.0,2023-01-11,Latest
Unknown Software,2.0.0 (support 10.1),2022-08-01,2025-08-31
Unknown Software,1.0.0,2019-08-08,2024-08-01
Unknown Software,ACI Version,Release Date,End-of-Life Date
Unknown Software,3.0.1,2024-02-09,Latest
Unknown Software,3.0.0,2022-04-05,2024-08-01
Unknown Software,2.0.3 (10.1),2022-01-27,2025-08-31
Unknown Software,2.0.2,2021-06-17,2024-08-01
Unknown Software,2.0.1,2021-02-02,2024-08-01
Unknown Software,2.0.0,2020-04-22,2024-08-01
Unknown Software,1.0.1,2019-08-29,2024-08-01
Unknown Software,1.0.0,2019-03-07,2024-08-01
Unknown Software,Nutanix,Release Date,End-of-Life Date
Unknown Software,2.0.2,2024-12-16,Latest
Unknown Software,2.0.1,2023-01-02,2025-05-01
Unknown Software,2.0.0,2022-03-31,August 01 2024
Unknown Software,1.0.0,2019-12-02,2024-08-01
Software Firewall License Plugin,1.1.3,2024-10-23,Latest
Software Firewall License Plugin,1.1.2,2024-09-15,2025-05-01
Software Firewall License Plugin,1.1.1,2022-11-09,2024-08-01
Software Firewall License Plugin,1.1.0,2022-07-05,2024-08-01
Software Firewall License Plugin,1.0.0,2022-03-01,2024-08-01
Kubernetes,4.0.0,2023-03-29,2024-08-01
Kubernetes,3.0.4,2024-12-12,Latest
Kubernetes,3.0.3,2024-10-03,2025-05-01
Kubernetes,3.0.2,2024-01-17,2025-05-01
Kubernetes,3.0.1,2022-11-30,2024-08-01
Kubernetes,3.0.0,2022-02-24,2024-08-01
Kubernetes,2.0.2 (10.1),2023-03-11,2024-12-01
Kubernetes,2.0.1,2022-07-28,2024-08-01
Kubernetes,2.0.0,2021-06-10,2024-08-01
Kubernetes,1.0.5,2022-06-15,2024-08-01
Kubernetes,1.0.4,2022-03-09,2024-08-01
Kubernetes,1.0.3,2021-10-07,2024-08-01
Kubernetes,1.0.2,2021-01-28,2024-08-01
Kubernetes,1.0.1,2020-11-05,2024-08-01
Kubernetes,1.0.0,2020-07-08,2024-08-01
"Traps, ESM and Cortex XDR agent",8.9 (Cortex XDR agent),2025-07-21,2026-04-21
"Traps, ESM and Cortex XDR agent",8.8 (Cortex XDR agent),2025-04-28,2026-02-18
"Traps, ESM and Cortex XDR agent",8.7.100 CE (Cortex XDR agent),2025-07-02,2027-07-02
"Traps, ESM and Cortex XDR agent",8.7 (Cortex XDR agent),2025-02-02,2025-11-23
"Traps, ESM and Cortex XDR agent",8.6 (Cortex XDR agent),2024-09-30,2025-07-13
"Traps, ESM and Cortex XDR agent",8.5 (Cortex XDR agent),2024-06-30,2025-04-21
"Traps, ESM and Cortex XDR agent",8.4 (Cortex XDR agent),2024-04-14,2025-02-05
"Traps, ESM and Cortex XDR agent",8.3 CE (Cortex XDR agent),2024-05-21,2026-05-21
"Traps, ESM and Cortex XDR agent",8.3 (Cortex XDR agent),2024-02-11,2024-11-25
"Traps, ESM and Cortex XDR agent",8.2 (Cortex XDR agent),2023-10-29,2024-08-12
"Traps, ESM and Cortex XDR agent",8.1 (Cortex XDR agent),2023-06-25,2024-04-09
"Traps, ESM and Cortex XDR agent",8.0 (Cortex XDR agent),2023-03-05,2023-12-19
"Traps, ESM and Cortex XDR agent",7.9.103 CE (Cortex XDR agent),2024-11-11,"December 31, 2026**"
"Traps, ESM and Cortex XDR agent",7.9 CE (Cortex XDR agent),2023-03-19,2025-03-19
"Traps, ESM and Cortex XDR agent",7.9 (Cortex XDR agent),2022-12-04,2023-09-11
"Traps, ESM and Cortex XDR agent",7.8 (Cortex XDR agent),2022-07-24,2023-04-24
"Traps, ESM and Cortex XDR agent",7.7 (Cortex XDR agent),2022-03-27,2022-12-27
"Traps, ESM and Cortex XDR agent",7.6 (Cortex XDR agent),2021-12-05,2022-09-05
"Traps, ESM and Cortex XDR agent",7.5 CE (Cortex XDR Agent),2022-03-06,2024-03-06
"Traps, ESM and Cortex XDR agent",7.5 (Cortex XDR agent),2021-08-22,2022-08-22
"Traps, ESM and Cortex XDR agent",7.4 (Cortex XDR agent),2021-05-24,2022-05-24
"Traps, ESM and Cortex XDR agent",7.3 (Cortex XDR agent),2021-02-01,2022-02-01
"Traps, ESM and Cortex XDR agent",7.2 (Cortex XDR agent),2020-09-07,2022-03-07
"Traps, ESM and Cortex XDR agent",7.1 (Cortex XDR agent),2020-04-22,2021-06-04
"Traps, ESM and Cortex XDR agent",7.0 (Cortex XDR agent),2019-12-04,2021-06-04
"Traps, ESM and Cortex XDR agent",6.1,2019-07-02,2022-07-01
"Traps, ESM and Cortex XDR agent",6.0,2019-02-26,2020-02-26
"Traps, ESM and Cortex XDR agent",5.0,2018-03-19,2024-06-01
"Traps, ESM and Cortex XDR agent",4.2,2018-06-25,"March 1, 2022*"
"Traps, ESM and Cortex XDR agent",4.1,2017-09-15,2019-09-15
"Traps, ESM and Cortex XDR agent",4.0,2017-04-05,2018-04-05
"Traps, ESM and Cortex XDR agent",3.4,2016-08-21,2019-08-21
"Traps, ESM and Cortex XDR agent",3.3,2015-11-10,2017-02-28
"Traps, ESM and Cortex XDR agent",3.2,2015-03-31,2016-03-31
"Traps, ESM and Cortex XDR agent",3.1,"September 3rd, 2014",2015-09-03
GlobalProtect™,GlobalProtect App version,Release Date,End-of-Engineering Date
GlobalProtect™,6.3,06/13/2024,06/13/2026
GlobalProtect™,6.2,05/23/2023,12/31/2026
GlobalProtect™,6.1,09/01/2022,03/01/2025
GlobalProtect™,6.0,02/22/2022,12/31/2025
GlobalProtect™,5.3,06/01/2021,12/01/2022
GlobalProtect™,5.2,07/30/2020,08/31/2023
GlobalProtect™,5.1,12/12/2019,03/12/2021
GlobalProtect™,5.0,2/12/2019,5/12/2020
GlobalProtect™,4.1,3/1/2018,6/1/2019
GlobalProtect™,4.0,1/30/2017,5/2/2018
GlobalProtect™,3.1,6/23/2016,9/23/2017
GlobalProtect™,3.0,2/16/2016,5/18/2017
Prisma Cloud Compute Edition,22.12,2022-12-04,2023-12-03
Prisma Cloud Compute Edition,22.06,2022-06-09,2023-08-20
Prisma Cloud Compute Edition,22.01,2022-01-10,2023-04-23
Prisma Cloud Compute Edition,21.08,2021-09-08,2022-12-04
Prisma Cloud Compute Edition,21.04,2021-04-26,2022-06-09
Prisma Cloud Compute Edition,20.12,2020-12-21,2021-09-08
Prisma Cloud Compute Edition,20.09,2020-09-22,2021-04-26
Prisma Cloud Compute Edition,20.04,2020-04-07,2020-12-21
Prisma Cloud Compute Edition,19.11,2019-11-20,2020-09-22
LightCyber Magna Virtual Appliances,End-of-Sale Product,End-of-Sale Date,End-of-Life Date
LightCyber Magna Virtual Appliances,"LightCyber Magna Detector Virtual Appliance
(D-150V)",2017-12-31,2020-12-31
LightCyber Magna Virtual Appliances,"LightCyber Magna Probe Virtual Appliance
(P-50TV)",2017-12-31,2020-12-31
LightCyber Magna Virtual Appliances,LightCyber Magna Master Virtual Appliance (M-100V),2017-12-31,2020-12-31
Evident.io™,Platform,Release Date,End-of-Support Date
Evident.io™,Evident.io,03/26/2018,07/31/2020
Prisma SD-WAN,6.5,02/15/2025,02/15/2028
Prisma SD-WAN,6.4,08/09/2024,08/31/2026
Prisma SD-WAN,6.3,02/22/2024,02/28/2027
Prisma SD-WAN,6.2,05/04/2023,05/04/2025
Prisma SD-WAN,6.1,12/23/2022,06/30/2026
Prisma SD-WAN,6.0,11/05/2022,09/01/2023
Prisma SD-WAN,5.6,10/05/2021,06/30/2026
Prisma SD-WAN,5.5,04/11/2021,08/30/2023
Prisma SD-WAN,5.4,08/10/2020,03/31/2023
Prisma SD-WAN,5.2,02/05/2020,01/31/2022
Prisma SD-WAN,5.1,01/31/2019,01/31/2022
Prisma SD-WAN,5.0,08/03/2018,01/31/2022
Prisma SD-WAN,4.7,05/23/2018,03/15/2020
Prisma SD-WAN,4.6,04/04/2018,02/15/2020
Prisma SD-WAN,4.5,09/15/2017,02/15/2020
Prisma SD-WAN,4.4,04/28/2017,02/15/2020
BRIGHTCLOUD Subscription,Product,Release Date,End-of-Life Date
BRIGHTCLOUD Subscription,BrightCloud,2009-01-05,2021-07-31
VM-Series Models,End-of-Sale Product,End-of-Sale Date,End-of-Life Date
VM-Series Models,"VM-Series Models
(VM-50, VM-100, VM-200, VM-300, VM-500, VM-700, VM-1000-HV)",2021-07-31,2024-07-31
