vendor,productName,model,description,productURL,cost
troemner,Weight Set OIML (2)200g-1g CLE2 Accrd TR,80780388,(2)200g-1g Certified Calibration Weight Set OIML Class E2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-%282%29200g-1g-CLE2-Accrd-TR/p/80780388,"$3,150.00"
troemner,Weight Set OIML (2)200g-1g CLF1 Accrd TR,80780442,(2)200g-1g Certified Calibration Weight Set OIML Class F1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-%282%29200g-1g-CLF1-Accrd-TR/p/80780442,"$2,225.00"
troemner,Weight Set OIML (2)200g-1g CLF2 Accrd TR,30390035,(2)200g-1g Certified Calibration Weight Set OIML Class F2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-%282%29200g-1g-CLF2-Accrd-TR/p/30390035,"$2,110.00"
troemner,Weight Set OIML (2)200g-1mg CLE1 Acrd TR,30390040,(2)200g-1mg Certified Calibration Weight Set OIML Class E1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-%282%29200g-1mg-CLE1-Acrd-TR/p/30390040,"$7,870.00"
troemner,Weight Set OIML (2)200g-1mg CLE2 Acrd TR,80780387,(2)200g-1mg Certified Calibration Weight Set OIML Class E2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-%282%29200g-1mg-CLE2-Acrd-TR/p/80780387,"$3,850.00"
troemner,Weight Set OIML (2)200g-1mg CLF1 Acrd TR,80780441,(2)200g-1mg Certified Calibration Weight Set OIML Class F1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-%282%29200g-1mg-CLF1-Acrd-TR/p/80780441,"$3,660.00"
troemner,Weight Set OIML (2)200g-1mg CLF2 Acrd TR,30390036,(2)200g-1mg Certified Calibration Weight Set OIML Class F2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-%282%29200g-1mg-CLF2-Acrd-TR/p/30390036,"$3,605.00"
troemner,Weight Set OIML (2)2kg-1g CLE1 Accrd TR,30390037,(2)2kg-1g Certified Calibration Weight Set OIML Class E1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-%282%292kg-1g-CLE1-Accrd-TR/p/30390037,"$11,720.00"
troemner,Weight Set OIML (2)2kg-1g CLE2 Accrd TR,80780396,(2)2kg-1g Certified Calibration Weight Set OIML Class E2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-%282%292kg-1g-CLE2-Accrd-TR/p/80780396,"$6,400.00"
troemner,Weight Set OIML (2)2kg-1g CLF1 Accrd TR,80780450,(2)2kg-1g Certified Calibration Weight Set OIML Class F1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-%282%292kg-1g-CLF1-Accrd-TR/p/80780450,"$5,990.00"
troemner,Weight Set OIML (2)2kg-1g CLF1 NoCert TR,80780423,(2)2kg-1g Calibration Weight Set OIML Class F1 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-%282%292kg-1g-CLF1-NoCert-TR/p/80780423,"$4,630.00"
troemner,Weight Set OIML (2)2kg-1g CLF2 Accrd TR,30390033,(2)2kg-1g Certified Calibration Weight Set OIML Class F2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-%282%292kg-1g-CLF2-Accrd-TR/p/30390033,"$5,820.00"
troemner,Weight Set OIML (2)2kg-1g CLF2 NoCert TR,30390029,(2)2kg-1g Calibration Weight Set OIML Class F2 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-%282%292kg-1g-CLF2-NoCert-TR/p/30390029,"$4,390.00"
troemner,Weight Set OIML (2)2kg-1mg CLE1 Accrd TR,30390038,(2)2kg-1mg Certified Calibration Weight Set OIML Class E1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-%282%292kg-1mg-CLE1-Accrd-TR/p/30390038,"$13,990.00"
troemner,Weight Set OIML (2)2kg-1mg CLE2 Accrd TR,80780395,(2)2kg-1mg Certified Calibration Weight Set OIML Class E2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-%282%292kg-1mg-CLE2-Accrd-TR/p/80780395,"$7,085.00"
troemner,Weight Set OIML (2)2kg-1mg CLF1 Accrd TR,80780449,(2)2kg-1mg Certified Calibration Weight Set OIML Class F1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-%282%292kg-1mg-CLF1-Accrd-TR/p/80780449,"$6,750.00"
troemner,Weight Set OIML (2)2kg-1mg CLF2 Accrd TR,30390034,(2)2kg-1mg Certified Calibration Weight Set OIML Class F2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-%282%292kg-1mg-CLF2-Accrd-TR/p/30390034,"$6,415.00"
troemner,Weight Set OIML 100g-1g CLE1 Accrd TR,30390921,100g-1g Certified Calibration Weight Set OIML Class E1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-100g-1g-CLE1-Accrd-TR/p/30390921,"$5,425.00"
troemner,Weight Set OIML 100g-1g CLE2 Accrd TR,80780386,100g-1g Certified Calibration Weight Set OIML Class E2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-100g-1g-CLE2-Accrd-TR/p/80780386,"$1,795.00"
troemner,Weight Set OIML 100g-1g CLF1 Accrd TR,80780440,100g-1g Certified Calibration Weight Set OIML Class F1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-100g-1g-CLF1-Accrd-TR/p/80780440,"$1,520.00"
troemner,Weight Set OIML 100g-1g CLF1 No Cert TR,80780413,100g-1g Calibration Weight Set OIML Class F1 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-100g-1g-CLF1-No-Cert-TR/p/80780413,"$1,015.00"
troemner,Weight Set OIML 100g-1g CLF2 Accrd TR,30390847,100g-1g Certified Calibration Weight Set OIML Class F2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-100g-1g-CLF2-Accrd-TR/p/30390847,"$1,475.00"
troemner,Weight Set OIML 100g-1g CLF2 No Cert TR,30390824,100g-1g Calibration Weight Set OIML Class F2 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-100g-1g-CLF2-No-Cert-TR/p/30390824,$970.00
troemner,Weight Set OIML 100g-1mg CLE1 Accrd TR,30390922,100g-1mg Certified Calibration Weight Set OIML Class E1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-100g-1mg-CLE1-Accrd-TR/p/30390922,"$7,345.00"
troemner,Weight Set OIML 100g-1mg CLE2 Accrd TR,80780385,100g-1mg Certified Calibration Weight Set OIML Class E2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-100g-1mg-CLE2-Accrd-TR/p/80780385,"$2,960.00"
troemner,Weight Set OIML 100g-1mg CLF1 Accrd TR,80780439,100g-1mg Certified Calibration Weight Set OIML Class F1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-100g-1mg-CLF1-Accrd-TR/p/80780439,"$2,715.00"
troemner,Weight Set OIML 100g-1mg CLF1 No Cert TR,80780412,100g-1mg Calibration Weight Set OIML Class F1 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-100g-1mg-CLF1-No-Cert-TR/p/80780412,"$1,540.00"
troemner,Weight Set OIML 100g-1mg CLF2 Accrd TR,30390848,100g-1mg Certified Calibration Weight Set OIML Class F2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-100g-1mg-CLF2-Accrd-TR/p/30390848,"$2,390.00"
troemner,Weight Set OIML 100g-1mg CLF2 No Cert TR,30390825,100g-1mg Calibration Weight Set OIML Class F2 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-100g-1mg-CLF2-No-Cert-TR/p/30390825,"$1,215.00"
troemner,Weight Set OIML 10kg-1g CLE1 Accrd TR,30390908,10kg-1g Certified Calibration Weight Set OIML Class E1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1g-CLE1-Accrd-TR/p/30390908,"$20,980.00"
troemner,Weight Set OIML 10kg-1g CLE2 Accrd TR,80780403,10kg-1g Certified Calibration Weight Set OIML Class E2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1g-CLE2-Accrd-TR/p/80780403,"$11,720.00"
troemner,Weight Set OIML 10kg-1g CLF1 Accrd TR,80780457,10kg-1g Certified Calibration Weight Set OIML Class F1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1g-CLF1-Accrd-TR/p/80780457,"$11,200.00"
troemner,Weight Set OIML 10kg-1g CLF1 No Cert TR,80780430,10kg-1g Calibration Weight Set OIML Class F1 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1g-CLF1-No-Cert-TR/p/80780430,"$9,530.00"
troemner,Weight Set OIML 10kg-1g CLF2 Accrd TR,30390834,10kg-1g Certified Calibration Weight Set OIML Class F2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1g-CLF2-Accrd-TR/p/30390834,"$10,160.00"
troemner,Weight Set OIML 10kg-1g CLF2 No Cert TR,30390811,10kg-1g Calibration Weight Set OIML Class F2 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1g-CLF2-No-Cert-TR/p/30390811,"$8,485.00"
troemner,Weight Set OIML 10kg-1mg CLE1 Accrd TR,30390909,10kg-1mg Certified Calibration Weight Set OIML Class E1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1mg-CLE1-Accrd-TR/p/30390909,"$21,680.00"
troemner,Weight Set OIML 10kg-1mg CLE2 Accrd TR,80780402,10kg-1mg Certified Calibration Weight Set OIML Class E2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1mg-CLE2-Accrd-TR/p/80780402,"$12,070.00"
troemner,Weight Set OIML 10kg-1mg CLF1 Accrd TR,80780456,10kg-1mg Certified Calibration Weight Set OIML Class F1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1mg-CLF1-Accrd-TR/p/80780456,"$11,990.00"
troemner,Weight Set OIML 10kg-1mg CLF1 No Cert TR,80780429,10kg-1mg Calibration Weight Set OIML Class F1 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1mg-CLF1-No-Cert-TR/p/80780429,"$9,860.00"
troemner,Weight Set OIML 10kg-1mg CLF2 Accrd TR,30390835,10kg-1mg Certified Calibration Weight Set OIML Class F2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1mg-CLF2-Accrd-TR/p/30390835,"$10,890.00"
troemner,Weight Set OIML 10kg-1mg CLF2 No Cert TR,30390812,10kg-1mg Calibration Weight Set OIML Class F2 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-10kg-1mg-CLF2-No-Cert-TR/p/30390812,"$8,765.00"
troemner,Weight Set OIML 1kg-1g CLE1 Accrd TR,30390915,1kg-1g Certified Calibration Weight Set OIML Class E1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1g-CLE1-Accrd-TR/p/30390915,"$8,220.00"
troemner,Weight Set OIML 1kg-1g CLE2 Accrd TR,80780394,1kg-1g Certified Calibration Weight Set OIML Class E2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1g-CLE2-Accrd-TR/p/80780394,"$5,065.00"
troemner,Weight Set OIML 1kg-1g CLF1 Accrd TR,80780448,1kg-1g Certified Calibration Weight Set OIML Class F1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1g-CLF1-Accrd-TR/p/80780448,"$4,760.00"
troemner,Weight Set OIML 1kg-1g CLF1 No Cert TR,80780421,1kg-1g Calibration Weight Set OIML Class F1 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1g-CLF1-No-Cert-TR/p/80780421,"$3,450.00"
troemner,Weight Set OIML 1kg-1g CLF2 Accrd TR,30390841,1kg-1g Certified Calibration Weight Set OIML Class F2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1g-CLF2-Accrd-TR/p/30390841,"$4,455.00"
troemner,Weight Set OIML 1kg-1g CLF2 No Cert TR,30390818,1kg-1g Calibration Weight Set OIML Class F2 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1g-CLF2-No-Cert-TR/p/30390818,"$3,420.00"
troemner,Weight Set OIML 1kg-1mg CLE1 Accrd TR,30390916,1kg-1mg Certified Calibration Weight Set OIML Class E1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1mg-CLE1-Accrd-TR/p/30390916,"$10,320.00"
troemner,Weight Set OIML 1kg-1mg CLE2 Accrd TR,80780393,1kg-1mg Certified Calibration Weight Set OIML Class E2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1mg-CLE2-Accrd-TR/p/80780393,"$6,605.00"
troemner,Weight Set OIML 1kg-1mg CLF1 Accrd TR,80780447,1kg-1mg Certified Calibration Weight Set OIML Class F1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1mg-CLF1-Accrd-TR/p/80780447,"$5,955.00"
troemner,Weight Set OIML 1kg-1mg CLF1 No Cert TR,80780420,1kg-1mg Calibration Weight Set OIML Class F1 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1mg-CLF1-No-Cert-TR/p/80780420,"$3,720.00"
troemner,Weight Set OIML 1kg-1mg CLF2 Accrd TR,30390842,1kg-1mg Certified Calibration Weight Set OIML Class F2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1mg-CLF2-Accrd-TR/p/30390842,"$5,305.00"
troemner,Weight Set OIML 1kg-1mg CLF2 No Cert TR,30390819,1kg-1mg Calibration Weight Set OIML Class F2 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-1kg-1mg-CLF2-No-Cert-TR/p/30390819,"$3,590.00"
